Date,Speed,Weather,Road_Condition,Vehicle_Type,Time,Seatbelt/Helmet,Severity,Is_Night,Speed_Category,Safety
01/01/2025,45.0,Sunny,Dry,Bike,Day,1.0,Minor,0,Low,Safe
02/01/2025,60.0,Rainy,Wet,Car,Night,0.0,Minor,1,Medium,Unsafe
03/01/2025,80.0,Foggy,Wet,Truck,Night,0.0,Serious,1,High,Unsafe
04/01/2025,50.0,Sunny,Dry,Car,Day,1.0,Minor,0,Medium,Safe
05/01/2025,70.0,Rainy,Wet,Bike,Night,0.0,Serious,1,Medium,Unsafe
01/01/2025,90.0,Foggy,Wet,Truck,Night,0.0,Fatal,1,High,Unsafe
07/01/2025,69.61363636363636,Sunny,Dry,Bike,Day,1.0,Serious,0,Medium,Safe
08/01/2025,65.0,Sunny,Wet,Car,Night,0.0,Minor,1,Medium,Unsafe
09/01/2025,85.0,Foggy,Wet,Truck,Night,0.0,Serious,1,High,Unsafe
10/01/2025,40.0,Sunny,Dry,Bike,Day,1.0,Minor,0,Low,Safe
11/01/2025,75.0,Rainy,Wet,Bike,Night,0.0,Serious,1,Medium,Unsafe
12/01/2025,95.0,Foggy,Wet,Truck,Night,0.0,Fatal,1,High,Unsafe
13/01/2025,35.0,Sunny,Dry,Bike,Day,0.0,Minor,0,Low,Unsafe
14/01/2025,68.0,Rainy,Wet,Car,Night,0.0,Serious,1,Medium,Unsafe
15/01/2025,69.61363636363636,Foggy,Wet,Truck,Night,0.0,Serious,1,Medium,Unsafe
16/01/2025,48.0,Sunny,Dry,Bike,Day,1.0,Minor,0,Low,Safe
17/01/2025,72.0,Rainy,Wet,Car,Night,0.0,Serious,1,Medium,Unsafe
18/01/2025,92.0,Foggy,Wet,Truck,Night,0.0,Fatal,1,High,Unsafe
01/01/2025,52.0,Sunny,Dry,Car,Day,1.0,Minor,0,Medium,Safe
20/01/2025,78.0,Rainy,Wet,Bike,Night,0.0,Serious,1,Medium,Unsafe
21/01/2025,98.0,Foggy,Wet,Truck,Night,0.0,Fatal,1,High,Unsafe
22/01/2025,69.61363636363636,Sunny,Dry,Bike,Night,1.0,Serious,1,Medium,Safe
23/01/2025,67.0,Sunny,Wet,Car,Night,0.0,Serious,1,Medium,Unsafe
24/01/2025,87.0,Foggy,Wet,Truck,Night,0.0,Fatal,1,High,Unsafe
25/01/2025,49.0,Sunny,Dry,Bike,Day,1.0,Minor,0,Low,Safe
26/01/2025,73.0,Rainy,Wet,Car,Night,0.0,Serious,1,Medium,Unsafe
27/01/2025,93.0,Foggy,Wet,Bike,Night,0.0,Fatal,1,High,Unsafe
28/01/2025,41.0,Sunny,Wet,Bike,Day,1.0,Minor,0,Low,Safe
29/01/2025,69.0,Rainy,Wet,Car,Night,0.0,Serious,1,Medium,Unsafe
30/01/2025,89.0,Foggy,Wet,Truck,Night,0.0,Fatal,1,High,Unsafe
31/01/2025,69.61363636363636,Sunny,Dry,Bike,Day,1.0,Serious,0,Medium,Safe
01/02/2025,71.0,Rainy,Wet,Car,Night,0.0,Serious,1,Medium,Unsafe
02/02/2025,91.0,Foggy,Wet,Truck,Night,0.0,Fatal,1,High,Unsafe
03/02/2025,54.0,Sunny,Dry,Car,Night,1.0,Minor,1,Medium,Safe
04/02/2025,76.0,Rainy,Wet,Bike,Night,0.0,Serious,1,Medium,Unsafe
05/02/2025,69.61363636363636,Foggy,Wet,Truck,Night,0.0,Serious,1,Medium,Unsafe
